,exclamations,commas,dots,questions,token_count,polarity,positive,negative,subjective,objective,spelling_errors,text_complexity,smog,nouns,verbs,adverbs,determiners,ad_count,domain_type,fb_shares,fb_like,linkedin_shares,alexa_rank,rating
489,0,16,8,0,237,1,4,3,4,3,1,183.74642767260468,14.265292616868656,65,26,34,12,0,com,,,,70081,3
490,0,22,25,0,392,1,15,14,15,14,1,375.7513439457441,14.265292616868656,86,41,47,27,0,com,,,,480,4
492,0,53,35,0,990,1,10,6,10,6,5,1091.2350456178342,14.265292616868656,264,102,99,67,0,com,,,,3842,4
493,0,11,9,0,199,1,1,,1,,0,170.94490709331907,14.265292616868656,53,22,21,16,0,org,,,,8187634,4
495,1,0,2,0,32,0,,1,,1,0,12.348114961243537,14.265292616868656,6,5,3,1,0,com,,,,119236,4
497,0,4,8,0,158,1,2,,2,,0,106.88336713928976,14.265292616868656,31,23,13,19,0,com,,,,5445,4
499,0,70,35,7,1007,1,11,3,11,3,2,951.7916938990945,14.265292616868656,238,88,120,83,0,org,,,,8187634,4
502,0,25,26,0,629,1,13,6,13,6,0,551.8760768033465,14.265292616868656,124,80,51,50,8,com,,,,162508,4
503,0,20,12,0,375,1,2,1,2,1,1,299.1026759305349,14.265292616868656,95,37,46,38,20,com,,,,332,5
504,2,4,1,0,64,1,2,1,2,1,3,43.82397254355058,14.265292616868656,11,8,4,2,1,gov,,,,422,5
505,0,28,23,0,688,1,15,9,15,9,3,732.2063175642263,14.265292616868656,170,66,80,52,0,com,,,,925163,4
507,1,0,2,0,32,0,,1,,1,0,12.348114961243537,14.265292616868656,6,5,3,1,0,com,,,,119236,4
517,0,21,61,4,1376,1,13,7,13,7,1,1073.8553039553747,14.265292616868656,284,173,128,112,1,com,,,,32800,4
520,0,3,8,10,237,0,,7,,7,2,140.95394272208054,14.265292616868656,62,21,18,25,21,com,,,,332,5
521,0,87,90,10,2295,1,35,25,35,25,13,2496.3056671056625,14.265292616868656,539,233,185,202,0,gov,,,,422,5
522,0,6,6,0,147,1,1,1,1,1,2,97.74787492706353,14.265292616868656,30,15,17,17,0,gov,,,,422,5
532,1,0,2,0,32,0,,1,,1,0,12.348114961243537,14.265292616868656,6,5,3,1,0,com,,,,119236,4
537,0,0,3,0,85,1,10,1,10,1,0,92.94720303911235,14.265292616868656,13,5,4,3,0,com,,,,3832883,2
540,2,386,364,23,8747,0,59,82,59,82,84,11556.098998383324,14.265292616868656,1960,897,967,851,0,com,,,,1570350,1
542,0,19,18,0,382,1,5,2,5,2,0,299.41155089808194,14.265292616868656,94,35,49,51,0,com,,,,106155,3
544,1,0,2,0,32,0,,1,,1,0,12.348114961243537,14.265292616868656,6,5,3,1,0,com,,,,119236,4
545,0,1,4,1,103,0,1,2,1,2,0,49.60071783146085,14.265292616868656,17,13,8,8,0,com,,,,11,2
548,0,17,12,0,344,0,1,4,1,4,7,301.18336372602676,14.265292616868656,86,30,40,36,0,com,,,,582,3
552,0,32,30,0,811,1,7,7,7,7,5,785.7061108886977,14.265292616868656,178,84,88,89,0,com,,,,11,3
556,0,66,75,16,1784,0,20,32,20,32,8,1997.5565368074622,14.265292616868656,467,188,182,141,1,int,,,,729,4
562,0,4,2,0,46,1,6,1,6,1,0,11.604128778696532,14.265292616868656,11,6,2,1,2,com,,,,11593,2
563,11,144,189,2,4008,1,90,22,90,22,26,3619.6007108374492,14.265292616868656,717,453,313,349,0,com,,,,584539,3
564,1,62,59,3,1433,1,21,8,21,8,6,1337.7936563988342,14.265292616868656,265,178,137,140,0,com,,,,7239204,3
566,3,65,71,2,1601,1,51,36,51,36,12,1560.1818353497265,14.265292616868656,345,178,119,124,0,com,,,,95024,4
574,0,0,0,0,7,1,1,,1,,0,1.4313637641589874,14.265292616868656,2,1,1,1,0,com,,,,5445,2
576,0,0,1,0,26,0,,1,,1,0,7.224719895935549,14.265292616868656,4,4,4,2,5,com,,,,11593,3
582,0,14,21,0,405,0,3,3,3,3,1,298.4764015775802,14.265292616868656,82,45,34,37,0,net,,,,1348748,3
585,0,57,67,0,1464,1,21,13,21,13,7,1506.0917906142695,14.265292616868656,324,145,102,146,0,com,,,,319368,3
593,0,0,2,2,50,1,2,1,2,1,0,23.010299956639813,14.265292616868656,9,8,3,5,2,com,,,,47257,3
595,0,2,2,0,34,1,1,1,1,1,0,12.348114961243537,14.265292616868656,5,7,1,2,0,com,,,,13,5
596,1,22,31,2,673,0,2,2,2,2,4,567.9734017672565,14.265292616868656,151,89,65,82,4,org,,,,11793,3
600,0,92,98,8,2210,1,38,36,38,36,1,1812.745030222899,14.265292616868656,510,289,179,191,0,com,,,,514,4
601,2,41,61,5,1299,1,17,16,17,16,7,1138.8451744365905,14.265292616868656,256,178,117,107,0,com,,,,1402390,2
603,0,24,17,2,509,0,4,5,4,5,2,388.3240777549098,14.265292616868656,114,66,43,28,0,com,,,,5445,2
604,1,0,2,0,32,0,,1,,1,0,12.348114961243537,14.265292616868656,6,5,3,1,0,com,,,,119236,3
605,0,19,21,0,452,1,5,3,5,3,0,327.1190512057582,14.265292616868656,94,76,36,34,8,com,,,,43178,2
607,1,0,2,0,32,0,,1,,1,0,12.348114961243537,14.265292616868656,6,5,3,1,0,com,,,,119236,3
608,1,0,2,0,32,0,,1,,1,0,12.348114961243537,14.265292616868656,6,5,3,1,0,com,,,,119236,3
609,1,27,43,4,999,1,11,7,11,7,1,896.3456575249857,14.265292616868656,231,141,108,76,1,com,,,,59188,4
611,0,14,35,2,582,0,1,4,1,4,0,424.7430332883324,14.265292616868656,105,88,42,54,0,com,1,,,19136,4
614,1,24,34,0,715,0,1,2,1,2,0,558.140922269808,14.265292616868656,125,105,55,88,3,com,,,,804695,2
615,0,0,11,0,87,1,3,2,3,2,0,41.60801954535826,14.265292616868656,21,12,4,4,1,com,,,,21632,2
617,1,0,2,0,32,0,,1,,1,0,12.348114961243537,14.265292616868656,6,5,3,1,0,com,,,,119236,3
618,0,20,6,5,323,0,4,5,4,5,0,173.20244524688536,14.265292616868656,61,36,27,31,0,com,1,,,19136,2
620,0,1,2,1,88,0,1,1,1,1,1,60.24279592364766,14.265292616868656,15,18,5,5,2,com,,,,1125,4
622,3,74,101,4,2244,1,21,8,21,8,5,2066.906869175034,14.265292616868656,459,326,233,174,0,com,,,,1402390,2
623,0,5,5,0,111,1,2,1,2,1,0,64.336866467241,14.265292616868656,14,17,9,7,1,com,,,,108159,4
626,0,8,29,0,556,1,4,,4,,1,456.5806847446207,14.265292616868656,128,77,58,47,4,org,,,,11793,2
632,0,0,2,2,50,1,2,1,2,1,0,23.010299956639813,14.265292616868656,9,8,3,5,2,com,,,,47257,2
634,0,27,59,3,1098,1,12,8,12,8,6,973.5370604640465,14.265292616868656,195,155,102,102,8,com,,,,439954,2
635,0,7,8,0,214,1,3,,3,,0,140.12842491185765,14.265292616868656,47,28,24,18,2,com,,,,804695,2
636,2,32,35,2,636,0,5,13,5,13,1,528.1395284562198,14.265292616868656,138,87,54,45,2,com,,,,2311958,2
637,0,4,2,0,53,1,1,,1,,1,36.187247055913296,14.265292616868656,14,9,4,2,0,com,,,,131659,2
638,0,0,2,2,50,1,2,1,2,1,0,23.010299956639813,14.265292616868656,9,8,3,5,2,com,,,,47257,3
640,1,14,27,0,583,1,6,3,6,3,4,397.7967381239396,14.265292616868656,96,77,52,59,0,com,,,,2412,2
641,0,109,133,6,2705,0,20,26,20,26,5,2515.288274646237,14.265292616868656,494,392,288,195,3,com,,,,170550,4
642,0,63,73,1,1183,0,,1,,1,3,964.5984832012888,14.265292616868656,233,140,115,91,0,com,,,,310,4
644,0,10,12,1,254,1,7,3,7,3,2,164.66770447087765,14.265292616868656,37,34,21,20,0,com,,,,11,1
646,1,1,17,0,276,1,12,5,12,5,3,209.42824424586536,14.265292616868656,50,24,25,20,0,com,,,,11,1
647,0,75,90,2,1939,0,5,12,5,12,8,1858.2969089331734,14.265292616868656,420,255,164,179,0,com,,,,514,4
650,0,37,52,6,977,1,11,11,11,11,1,772.2211380484001,14.265292616868656,184,147,78,74,1,com,,,,9806,4
651,0,2,4,0,98,1,2,,2,,4,77.87135274918722,14.265292616868656,18,9,13,8,0,com,,,,144215,4
653,2,116,165,31,3105,0,22,34,22,34,61,3406.794458973521,14.265292616868656,619,387,298,242,0,com,,,,627,3
655,1,27,66,1,950,1,12,8,12,8,10,796.7893123461815,14.265292616868656,190,106,82,63,4,com,,,,514,4
656,0,11,15,0,301,1,5,,5,,1,242.8935535899214,14.265292616868656,70,38,39,24,0,com,1,,,19136,3
657,0,4,1,0,35,1,1,,1,,3,20.31557167210269,14.265292616868656,8,4,4,3,1,com,,,,118299,4
659,0,2,1,1,56,1,4,,4,,2,24.8164799306237,14.265292616868656,7,4,7,4,2,com,,,,224464,2
663,0,17,46,0,833,0,,1,,1,9,624.8222518779799,14.265292616868656,185,100,71,88,0,com,,,,11,1
665,4,75,103,6,2314,1,26,6,26,6,3,2137.3005327569404,14.265292616868656,465,284,201,234,0,com,,,,486714,2
667,0,3,5,0,136,0,,1,,1,0,76.62675262422874,14.265292616868656,27,16,12,16,3,co.uk,,,,1445,4
669,0,24,28,6,482,1,5,4,5,4,5,438.8822164417788,14.265292616868656,98,69,51,33,0,com,,,,23401,2
677,0,33,28,2,609,1,5,4,5,4,2,552.1230568109843,14.265292616868656,132,68,62,70,0,com,1,,,19136,3
678,0,41,36,2,763,0,6,7,6,7,5,656.0968504657886,14.265292616868656,144,81,80,74,0,com,,,,627,3
682,0,235,200,0,4833,1,59,27,59,27,44,5740.459735172968,14.265292616868656,1239,425,593,419,0,org,,,,12,3
684,0,33,39,2,661,1,10,5,10,5,0,616.5600987555454,14.265292616868656,148,73,77,59,0,com,1,,,19136,3
685,0,123,155,20,3104,0,23,29,23,29,9,3203.0977528544995,14.265292616868656,703,315,311,296,0,com,,,,391102,2
686,0,0,7,0,100,0,1,2,1,2,0,50.264103205452805,14.265292616868656,17,14,8,7,0,com,,,,11,1
687,4,41,39,6,889,1,13,8,13,8,1,620.6326491509344,14.265292616868656,132,95,72,60,0,com,,,,3647505,2
688,0,2,9,0,62,1,1,1,1,1,0,21.99284510053155,14.265292616868656,5,10,3,5,0,com,,,,11,1
689,0,109,133,6,2705,0,20,26,20,26,5,2515.288274646237,14.265292616868656,494,392,288,195,3,com,,,,170550,4
690,0,0,2,2,50,1,2,1,2,1,0,23.010299956639813,14.265292616868656,9,8,3,5,2,com,,,,47257,3
692,0,16,41,0,700,1,4,2,4,2,0,616.5894484614239,14.265292616868656,188,87,66,69,0,com,,,,5445,2
696,0,41,65,2,1079,1,15,3,15,3,10,1062.5834906805283,14.265292616868656,223,105,101,82,0,com,,,,32393,4
697,0,12,26,0,421,0,3,7,3,7,5,342.8221854741368,14.265292616868656,92,56,37,33,0,com,,,,11,1
700,0,166,209,21,3527,1,45,24,45,24,98,3678.5037382969917,14.265292616868656,798,431,329,247,0,com,,,,627,2
702,0,74,110,1,1875,1,18,11,18,11,10,2016.2562325743322,14.265292616868656,425,211,186,189,0,com,,,,188519,4
704,2,109,84,17,2114,0,28,35,28,35,9,1713.1528597604142,14.265292616868656,363,233,175,197,6,com,,,,198859,2
706,8,28,28,10,645,0,2,9,2,9,0,365.0304764808662,14.265292616868656,94,83,64,57,0,com,1,,,19136,3
707,0,0,2,0,19,1,1,,1,,1,7.986122593625963,14.265292616868656,4,3,1,3,0,com,,,,56,4
710,2,116,165,31,3105,0,22,34,22,34,61,3406.794458973521,14.265292616868656,619,387,298,242,0,com,,,,627,3
712,0,16,16,3,564,0,4,4,4,4,1,541.1251975762651,14.265292616868656,109,73,46,48,0,com,,,,1492078,2
714,0,4,1,0,35,1,1,,1,,3,20.31557167210269,14.265292616868656,8,4,4,3,1,com,,,,118299,4
715,0,48,51,4,1264,1,39,18,39,18,16,1248.3283738222817,14.265292616868656,284,121,144,103,1,com,,,,3627,4
716,0,17,46,0,833,0,,1,,1,9,624.8222518779799,14.265292616868656,185,100,71,88,0,com,,,,11,1
717,0,10,10,0,237,0,1,2,1,2,0,149.91951987491632,14.265292616868656,52,31,24,22,0,com,,,,11,1
718,0,0,1,0,11,1,1,,1,,0,4.0668475109739,14.265292616868656,,2,1,,3,org,,,,2906,3
719,1,27,66,1,950,1,12,8,12,8,10,796.7893123461815,14.265292616868656,190,106,82,63,4,com,,,,514,4
720,0,166,194,20,4583,1,62,44,62,44,11,4361.570029426978,14.265292616868656,1067,575,436,448,0,gov,,,,14975,5
721,0,3,3,9,148,0,1,2,1,2,0,103.6413192697138,14.265292616868656,39,18,9,5,0,com,,,,86251,3
722,0,75,79,0,2080,0,12,14,12,14,8,1990.0030990681455,14.265292616868656,477,243,231,239,0,org,,,,12,3
723,0,0,1,0,25,1,1,,1,,1,8.795880017344075,14.265292616868656,5,2,3,2,0,com,,,,5513881,2
724,0,49,41,6,1144,0,5,8,5,8,2,1020.7162967730867,14.265292616868656,286,154,101,95,1,com,,,,1125,4
725,0,91,89,5,2076,1,33,15,33,15,3,1635.819003527456,14.265292616868656,441,253,227,204,0,com,,,,5196747,3
727,0,2,8,0,134,1,3,,3,,1,87.6940930169464,14.265292616868656,32,15,13,10,5,com,,,,8688666,5
729,0,7,11,0,246,1,3,1,3,1,1,180.67661980842297,14.265292616868656,65,31,20,25,0,com,,,,126,4
730,1,4,4,0,106,1,2,,2,,2,66.77435607027631,14.265292616868656,25,14,14,10,0,com,,,,5540,4
731,0,25,33,0,640,0,2,2,2,2,10,695.2576557624492,14.265292616868656,154,59,56,45,0,com,,,,3865850,2
732,0,2,1,0,31,1,1,1,1,1,1,12.348114961243537,14.265292616868656,7,3,3,4,0,com,,,,13665,4
733,1,7,7,0,159,1,4,,4,,0,130.29136641686316,14.265292616868656,49,20,13,10,0,com,,,,86251,3
734,0,4,6,0,121,1,1,,1,,0,57.10101432666205,14.265292616868656,27,12,15,14,1,com,,,,1697093,4
735,0,1,3,0,50,1,2,,2,,0,30.654408924323977,14.265292616868656,17,7,6,4,0,com,,,,303455,1
736,0,0,1,0,25,1,1,,1,,1,8.795880017344075,14.265292616868656,5,2,3,2,0,com,,,,5513881,2
739,2,5,17,1,322,0,1,4,1,4,2,224.12149441200026,14.265292616868656,63,39,17,15,0,com,,,,4785760,2
743,0,25,28,6,791,1,12,11,12,11,4,667.1142507909556,14.265292616868656,188,105,65,67,0,com,,,,5540,4
745,1,172,184,16,3950,1,29,11,29,11,6,4243.2663726352675,14.265292616868656,986,445,391,395,2,com,,,,1125,4
746,0,1,5,1,161,0,1,3,1,3,1,106.75783896364457,14.265292616868656,34,22,11,13,1,com,,,,1697093,4
750,0,2,8,0,134,1,3,,3,,1,87.6940930169464,14.265292616868656,32,15,13,10,5,com,,,,8688666,5
755,0,2,4,0,98,1,2,,2,,4,77.87135274918722,14.265292616868656,18,9,13,8,0,com,,,,144215,4
759,2,51,46,5,1188,0,8,10,8,10,2,1028.9410268054107,14.265292616868656,250,159,106,112,1,com,,,,154073,2
760,0,455,564,0,13263,1,124,64,124,64,23,15530.101935275861,14.265292616868656,3667,1316,1255,1412,1,gov,,,,3985,5
761,0,4,2,0,49,1,1,,1,,0,31.74558333511451,14.265292616868656,12,7,2,1,1,com,,,,9806,4
762,0,191,258,0,5632,1,129,54,129,54,35,6411.800526574803,14.265292616868656,1540,485,569,517,0,org,,,,12,5
763,0,0,0,0,14,1,2,,2,,0,5.915686280099798,14.265292616868656,1,2,2,,0,com,,,,11,4
764,0,75,90,2,1939,0,5,12,5,12,8,1858.2969089331734,14.265292616868656,420,255,164,179,4,com,,,,514,4
765,0,42,97,1,1785,1,93,65,93,65,17,1740.329790476156,14.265292616868656,449,147,152,135,9,org,,,,1067753,2
766,0,42,32,0,890,1,9,7,9,7,2,858.6756111687852,14.265292616868656,204,104,91,106,1,com,,,,9806,4
769,0,35,37,1,828,1,12,6,12,6,1,778.7031208942407,14.265292616868656,223,76,86,68,1,com,,,,9806,4
770,0,5,25,0,289,1,5,2,5,2,1,251.23804538345863,14.265292616868656,87,34,26,29,0,com,,,,5445,2
771,1,38,45,4,956,1,14,6,14,6,14,873.336738803204,14.265292616868656,216,114,83,100,0,com,,,,627,3
772,0,13,25,0,408,0,2,4,2,4,0,308.1525976771178,14.265292616868656,84,62,36,31,0,com,,,,5445,2
773,0,39,88,6,1365,1,16,14,16,14,8,1181.4872344928551,14.265292616868656,294,157,132,124,3,com,,,,1895954,2
774,0,0,1,0,25,1,1,,1,,1,8.795880017344075,14.265292616868656,5,2,3,2,0,us,,,,3478652,3
778,2,82,99,7,1970,0,1,3,1,3,5,1899.7105680443851,14.265292616868656,412,205,194,154,0,com,,,,2624871,1
779,0,13,11,0,286,1,4,3,4,3,4,261.4051641608933,14.265292616868656,50,30,25,30,6,com,,,,422044,4
780,2,20,22,2,448,0,2,10,2,10,0,347.0462772968007,14.265292616868656,94,56,44,26,0,com,1,,,19136,3
782,0,0,2,2,50,1,2,1,2,1,0,23.010299956639813,14.265292616868656,9,8,3,5,2,com,,,,47257,2
783,0,49,64,2,1213,1,10,1,10,1,0,1242.6498116621817,14.265292616868656,312,151,114,109,1,com,,,,43706,4
784,0,49,50,19,1158,0,12,19,12,19,16,1092.453386495312,14.265292616868656,226,144,106,71,0,com,,,,627,3
785,0,18,38,2,716,1,18,2,18,2,1,556.4400948336598,14.265292616868656,156,79,76,84,0,com,1,,,19136,2
787,0,1,23,0,178,1,2,1,2,1,3,95.48206587716503,14.265292616868656,42,21,14,17,4,com,,,,333,4
789,0,6,2,0,60,1,6,4,6,4,0,21.70651909082503,14.265292616868656,16,6,2,4,2,com,,,,59188,4
792,0,53,64,10,1224,0,7,17,7,17,8,1193.3547499821077,14.265292616868656,297,134,100,90,4,com,,,,514,4
793,0,0,3,0,43,1,1,,1,,0,24.035087702955654,14.265292616868656,9,6,7,2,0,com,,,,2412,2
794,0,2,5,0,101,1,2,1,2,1,0,44.398507549403185,14.265292616868656,26,12,9,12,0,com,,,,6437498,2
795,0,62,60,0,1032,0,7,10,7,10,10,852.4875172144302,14.265292616868656,206,102,90,63,6,com,,,,2606,1
798,0,4,8,0,168,0,2,3,2,3,1,110.50077914090332,14.265292616868656,35,16,15,23,0,com,,,,2412,2
800,0,25,35,0,661,0,,1,,1,3,612.1973149013404,14.265292616868656,140,77,67,59,0,com,,,,310,5
802,0,73,113,8,2235,0,25,50,25,50,7,2161.3336574921505,14.265292616868656,454,245,241,206,3,com,,,,170550,4
803,0,21,16,1,462,0,7,9,7,9,1,346.36347064905385,14.265292616868656,104,48,42,49,1,com,,,,9806,4
804,2,2,8,1,96,1,2,1,2,1,1,42.66658803110411,14.265292616868656,12,15,6,4,1,com,,,,5968,4
806,0,13,10,0,326,1,4,2,4,2,19,241.30215117330314,14.265292616868656,91,27,28,32,0,com,,,,1933,4
809,0,8,9,0,162,1,5,,5,,1,94.7471885960306,14.265292616868656,30,23,19,18,1,org,,,,165252,4
810,0,229,208,0,4798,0,25,50,25,50,37,5431.6568625543605,14.265292616868656,1037,485,546,528,0,org,,,,12,5
811,2,2,1,0,36,1,1,1,1,1,0,15.44373250816737,14.265292616868656,10,4,2,4,0,org,,,,1055809,4
821,0,5,5,0,111,1,2,1,2,1,0,64.336866467241,14.265292616868656,14,17,9,7,1,com,,,,108159,4
822,1,0,2,0,32,0,,1,,1,0,12.348114961243537,14.265292616868656,6,5,3,1,0,com,,,,119236,4
823,0,8,9,0,162,1,5,,5,,1,94.7471885960306,14.265292616868656,30,23,19,18,1,org,,,,165252,4
829,0,21,16,1,462,0,7,9,7,9,1,346.36347064905385,14.265292616868656,104,48,42,49,1,com,,,,9806,4
830,0,2,4,1,91,1,2,,2,,0,52.56210250797641,14.265292616868656,23,8,12,4,1,com,,,,5968,4
831,1,49,40,0,1166,0,3,7,3,7,4,1115.8060417167924,14.265292616868656,255,132,131,136,1,com,,,,10093,5
833,0,16,16,3,564,0,4,4,4,4,1,541.1251975762651,14.265292616868656,109,73,46,48,0,com,,,,1492078,3
836,0,0,2,0,19,1,1,,1,,1,7.986122593625963,14.265292616868656,4,3,1,3,0,com,,,,56,5
839,0,6,6,0,101,0,,4,,4,0,62.28453439603835,14.265292616868656,14,9,14,11,0,gov,,,,38834,5
840,0,41,51,2,1115,1,7,7,7,7,5,1078.8042032710139,14.265292616868656,236,122,114,125,0,org,,,,30839,5
841,1,62,39,2,1391,0,9,11,9,11,17,1371.8385541892135,14.265292616868656,238,164,147,122,0,com,,,,8252323,3
843,1,19,16,1,365,1,3,2,3,2,2,295.2200850286175,14.265292616868656,82,39,39,37,3,com,,,,10093,4
845,1,293,264,3,6894,1,41,39,41,39,68,8444.049626172738,14.265292616868656,1375,739,677,563,0,org,,,,12,5
846,1,40,38,3,755,0,11,16,11,16,7,636.0319799103639,14.265292616868656,149,76,69,69,0,com,,,,480,4
848,2,24,14,4,347,1,9,6,9,6,13,270.87774804565674,14.265292616868656,49,33,35,23,1,com,,,,342,3
853,0,30,36,0,715,0,4,8,4,8,9,671.3098193426079,14.265292616868656,124,76,71,66,0,com,,,,162,5
855,0,4,1,0,71,0,,1,,1,1,34.948500216800944,14.265292616868656,8,12,6,6,3,co.uk,,,,1445,4
856,0,18,21,0,559,0,2,9,2,9,1,525.3944206922179,14.265292616868656,131,51,56,48,13,com,,,,766,4
857,0,39,43,0,1078,0,7,10,7,10,3,1106.537086593784,14.265292616868656,259,120,102,111,0,com,,,,6672,4
858,1,9,18,0,380,1,5,3,5,3,2,312.3874837086828,14.265292616868656,71,45,44,38,3,com,,,,10093,4
860,0,5,7,0,154,1,5,4,5,4,2,100.74136241167494,14.265292616868656,37,12,16,7,0,org,,,,684,4
861,0,24,23,0,626,1,5,1,5,1,3,549.0020802021099,14.265292616868656,110,79,63,56,3,com,,,,1004,5
865,0,23,26,0,548,0,4,17,4,17,2,537.5627317897299,14.265292616868656,142,63,55,52,4,com,,,,647,4
867,0,63,53,4,1444,0,7,8,7,8,9,1451.6904528872751,14.265292616868656,258,184,116,138,8,org,,,,60181,3
869,0,29,109,4,2154,0,12,32,12,32,7,2280.846098274987,14.265292616868656,414,252,190,197,0,com,,,,14868,3
874,1,84,72,3,1822,0,14,23,14,23,12,1926.7049529639646,14.265292616868656,386,197,190,153,0,com,,,,480,4
877,0,22,11,1,367,0,4,5,4,5,3,328.692712325685,14.265292616868656,65,39,33,37,0,com,,,,5662,3
878,0,16,23,0,562,1,6,6,6,6,1,571.9304620948324,14.265292616868656,129,64,61,42,0,com,,,,22791,3
880,2,70,69,9,1314,1,22,5,22,5,10,1135.7453058926617,14.265292616868656,217,133,120,154,0,org,1,,,402,5
881,2,267,258,1,5900,1,94,7,94,7,121,7330.476978323948,14.265292616868656,1113,590,667,526,0,org,,,,12,5
882,0,65,57,5,1150,1,24,7,24,7,9,1028.6591912931185,14.265292616868656,181,129,106,101,2,com,,,,22506,4
884,0,14,22,0,312,1,3,3,3,3,1,278.36596281300626,14.265292616868656,53,36,28,21,15,com,,,,6672,4
885,0,52,44,0,1143,1,12,,12,,10,1194.0291746929267,14.265292616868656,209,104,127,132,0,co.uk,,,,14639,3
886,1,81,81,13,2231,0,10,15,10,15,20,2378.350692850352,14.265292616868656,362,225,238,268,0,us,,,,4433730,2
887,0,41,52,6,1288,1,21,5,21,5,12,1288.0991863303157,14.265292616868656,236,139,130,124,0,com,,,,64,5
888,0,5,4,0,91,1,1,,1,,1,69.6370835985943,14.265292616868656,24,12,14,7,3,co.uk,,,,1445,5
889,0,0,5,0,45,1,2,1,2,1,1,20.83153089845781,14.265292616868656,5,10,4,3,0,com,,,,54,3
890,0,25,20,0,574,1,9,3,9,3,12,605.9939710036268,14.265292616868656,115,57,61,53,5,com,,,,45069,4
891,0,0,2,0,19,1,1,,1,,1,7.986122593625963,14.265292616868656,4,3,1,3,0,com,,,,56,4
895,0,20,15,0,396,1,9,,9,,11,378.7111955147793,14.265292616868656,74,48,35,46,0,co.uk,,,,14639,4
902,2,408,305,1,8080,1,97,10,97,10,139,10212.41416888624,14.265292616868656,1540,847,976,776,0,org,,,,12,5
904,0,42,47,2,1035,1,11,2,11,2,12,906.6846206384384,14.265292616868656,205,86,126,98,0,com,,,,162,5
908,0,80,53,1,1536,1,15,2,15,2,21,1739.1220199280237,14.265292616868656,270,147,160,146,2,com,,,,75399,4
909,0,0,0,0,5,0,,1,,1,0,0.6020599913279624,14.265292616868656,1,,1,2,0,com,,,,22034,4
910,0,61,62,0,1170,1,23,6,23,6,26,1056.1968986207644,14.265292616868656,180,134,119,102,3,com,,,,140475,3
911,0,6,15,0,230,1,10,,10,,9,220.94083541943724,14.265292616868656,37,14,13,13,0,com,,,,162,4
913,0,9,4,0,176,1,1,,1,,3,163.66251147177633,14.265292616868656,46,17,23,9,1,com,,,,2689,4
914,0,0,2,0,10,0,,1,,1,0,0.0,14.265292616868656,1,1,,1,0,com,,,,2412,2
915,5,36,25,1,769,1,23,2,23,2,17,677.7278965642803,14.265292616868656,128,82,71,71,11,com,,,,1141,3
920,0,70,116,5,1748,1,15,7,15,7,6,1371.664662554695,14.265292616868656,249,182,184,153,8,com,,,,3753,5
921,0,36,39,0,661,1,3,1,3,1,2,374.03560855748594,14.265292616868656,87,68,75,68,0,com,,,,11,3
924,0,60,77,0,1540,1,22,8,22,8,13,1621.35083809383,14.265292616868656,255,175,145,162,0,com,,,,158409,1
925,0,90,64,4,1707,0,20,31,20,31,12,1890.6732771270217,14.265292616868656,298,194,146,184,0,org,1,,,402,5
926,0,20,26,0,391,1,3,,3,,3,367.7466437926172,14.265292616868656,54,32,49,26,3,com,,,,14153,4
927,0,976,775,0,16833,1,211,26,211,26,132,23348.403683914174,14.265292616868656,2792,1565,2212,1395,0,org,,,,12,5
929,0,20,41,2,885,1,11,4,11,4,6,825.666007372731,14.265292616868656,162,133,78,98,3,com,,,,8290,3
930,0,22,14,7,407,1,11,4,11,4,3,285.6542002274435,14.265292616868656,40,52,31,27,13,com,,,,766,4
931,0,8,7,0,115,1,2,2,2,2,0,79.80930796475737,14.265292616868656,16,12,11,8,0,org,,,,1018190,2
933,0,74,64,1,1359,1,24,9,24,9,6,1266.436799687127,14.265292616868656,207,171,119,126,3,com,,,,6895,1
935,0,112,122,2,2084,1,37,19,37,19,23,2374.8640516533737,14.265292616868656,336,227,231,186,3,com,,,,6895,3
936,0,21,18,1,458,1,18,2,18,2,4,441.5536504841147,14.265292616868656,72,41,49,24,0,com,,,,455575,4
938,0,129,122,2,2338,1,36,,36,,5,2872.0082043199195,14.265292616868656,430,253,269,212,3,com,,,,14153,4
940,0,0,2,0,19,1,1,,1,,1,7.986122593625963,14.265292616868656,4,3,1,3,0,com,,,,56,5
941,2,39,107,13,1825,1,45,25,45,25,34,1733.1810829718468,14.265292616868656,270,237,135,155,0,com,,,,21517,2
943,0,12,8,0,394,1,5,3,5,3,6,337.6851337865766,14.265292616868656,66,39,47,52,9,com,,,,3753,5
944,0,42,6,0,535,1,16,,16,,16,528.9787269423209,14.265292616868656,63,32,66,64,3,com,,,,10093,4
945,28,32,62,17,1196,1,60,15,60,15,25,1000.381355620177,14.265292616868656,196,131,100,87,0,com,,,,21517,2
947,0,10,13,0,280,1,3,1,3,1,6,220.22405952517957,14.265292616868656,39,30,26,27,0,com,,,,3797767,2
949,0,5,7,2,150,0,,1,,1,2,79.49545941137227,14.265292616868656,21,21,16,17,0,com,,,,36953,2
950,0,20,26,0,391,1,3,,3,,3,367.7466437926172,14.265292616868656,54,32,49,26,3,com,,,,83767,3
952,0,9,2,0,55,1,1,,1,,3,37.44270164963674,14.265292616868656,1,1,7,3,0,com,,,,2412,3
953,2,257,160,6,3952,1,31,10,31,10,19,4021.5042687000205,14.265292616868656,528,449,424,303,16,com,,,,6019265,2
